ADMINNAME	NAME	ABBREVIATI	LXX	latitude	longtitude
历城区	侯家庄村	侯家庄村	行政村	36.7055023765	117.184833376
历城区	天齐奥东花园社区	天齐奥东花园社区	行政村	36.6749606975	117.170820608
历下区	燕子山路社区	燕子山路社区	行政村	36.658782089	117.058738951
天桥区	杨庄社区	杨庄社区	行政村	36.6865053422	117.023638859
历城区	港沟村	港沟村	行政村	36.6467106367	117.173911638
历下区	燕子山社区	燕子山社区	行政村	36.6587046304	117.053989822
历下区	熙霖苑社区	熙霖苑社区	行政村	36.6678863551	117.046106622
历下区	新生活家园社区	新生活家园社区	行政村	36.6900974306	117.115176887
天桥区	五柳闸	五柳闸	自然村	36.7006744003	117.014292304
天桥区	柳云村	柳云村	自然村	36.6967945164	117.010620572
天桥区	阳光社区	阳光社区	行政村	36.699759511	117.027662688
历下区	和苑社区	和苑社区	行政村	36.6304202947	117.105918277
历下区	青龙街社区	青龙街社区	行政村	36.6727449757	117.032873238
历城区	刘家庄村	刘家庄村	行政村	36.7055193719	117.184493372
天桥区	李庄社区	李庄社区	行政村	36.7122440255	117.018486322
历下区	泺文路社区	泺文路社区	行政村	36.6570416041	117.016166041
历城区	凤凰国际社区	凤凰国际社区	行政村	36.6523037237	117.156729875
历下区	老石沟村	老石沟村	行政村	36.6268089357	117.114888981
历下区	仁合村	仁合村	行政村	36.6426366368	117.068001481
历下区	鑫苑国际社区	鑫苑国际社区	行政村	36.6849932464	117.129922788
历城区	田庄村	田庄村	行政村	36.6674041845	117.183455641
市中区	市中区	市中区	区县级地名	36.6510512235	116.991727224
市中区	舜玉花园家属居委会	舜玉花园家属居委会	自然村	36.6277922661	117.008371112
历下区	和平新村社区	和平新村社区	行政村	36.6639660421	117.044079889
历下区	和平路北社区	和平路北社区	行政村	36.6610345301	117.052849675
历下区	南北历山社区	南北历山社区	行政村	36.6688807292	117.022307729
天桥区	义合社区	义合社区	行政村	36.6742680154	116.993356218
历下区	甸柳新村街道第二社区	甸柳新村街道第二社区	行政村	36.6613212277	117.060777053
历城区	宋刘庄村	宋刘庄村	行政村	36.7147042559	117.044980755
历下区	康虹华庭社区	康虹华庭社区	行政村	36.6882607613	117.098567024
历下区	历下区	历下区	区县级地名	36.66645303	117.07043703
历城区	历城区	历城区	区县级地名	36.6804992182	117.059319218
市中区	省体育中心宿舍家属居委会	省体育中心宿舍家属居委会	自然村	36.6281467303	117.006056962
历下区	师东新村社区	师东新村社区	行政村	36.6520617611	117.044364496
历下区	奥龙社区	奥龙社区	行政村	36.6514127942	117.125666791
历城区	中建凤栖第社区	中建凤栖第社区	行政村	36.6770910295	117.172337218
历下区	济柴社区	济柴社区	行政村	36.6567678316	117.028319353
市中区	蓝天社区	蓝天社区	行政村	36.6298036493	116.987396649
历下区	解放桥社区	解放桥社区	行政村	36.6694271141	117.037482283
历下区	贤文社区	贤文社区	行政村	36.6867730713	117.11161366
历下区	济南市	济南市	地级市地名	36.651628618	117.114180618
天桥区	鑫苑名家社区	鑫苑名家社区	行政村	36.6990636714	117.035335969
历下区	汇德社区	汇德社区	行政村	36.7020813087	117.138036656
历下区	历山名郡社区	历山名郡社区	行政村	36.6505424177	117.026910073
市中区	省财政学院家属居委会	省财政学院家属居委会	自然村	36.6291529044	117.016926336
市中区	省城建学校家属居委会	省城建学校家属居委会	自然村	36.6320426986	117.016391454
市中区	省安全厅家属居委会	省安全厅家属居委会	自然村	36.6278745505	117.003183753
天桥区	幸福社区	幸福社区	行政村	36.6865971693	117.023897829
历下区	中奥社区	中奥社区	行政村	36.6939002732	117.10096243
历下区	转山社区	转山社区	行政村	36.6414715857	117.097722148
历下区	汇隆社区	汇隆社区	行政村	36.6349146944	117.078216932
历城区	舜泰社区	舜泰社区	行政村	36.6640082428	117.13923484
历城区	唐冶街道	唐冶街道	街道级地名	36.7137388634	117.207198417
历下区	龙洞街道	龙洞街道	街道级地名	36.6406365886	117.095399847
历下区	智远街道	智远街道	街道级地名	36.7043671021	117.112917593
市中区	武警宿舍家属居委会	武警宿舍家属居委会	自然村	36.6271313804	117.001940587
市中区	南郊铁路家属居委会	南郊铁路家属居委会	自然村	36.6529526565	117.005371728
市中区	省交通厅家属居委会	省交通厅家属居委会	自然村	36.6283278636	117.013540574
市中区	永长街社区	永长街社区	行政村	36.6615898201	117.005512828
天桥区	工人新村南村街道	工人新村南村街道	街道级地名	36.6910471821	116.987880398
市中区	四里村街道	四里村街道	街道级地名	36.6433738785	116.992235265
市中区	省财政厅宿舍家属居委会	省财政厅宿舍家属居委会	自然村	36.6325470573	117.015744375
市中区	省府小区家属居委会	省府小区家属居委会	自然村	36.6302136062	117.019058101
市中区	省电视厅家属居委会	省电视厅家属居委会	自然村	36.6313592984	117.021268813
市中区	省出版总局三宿舍家属居委会	省出版总局三宿舍家属居委会	自然村	36.6313309832	117.005024372
市中区	济南大学家属居委会	济南大学家属居委会	自然村	36.6313009522	117.015103095
历下区	姚家街道	姚家街道	街道级地名	36.665955159	117.07154298
市中区	魏家庄街道	魏家庄街道	街道级地名	36.6675736356	116.996377841
历下区	文化东路街道	文化东路街道	街道级地名	36.6603467187	117.043386651
天桥区	纬北路街道	纬北路街道	街道级地名	36.6754519539	116.997829927
历城区	山大路街道	山大路街道	街道级地名	36.673155965	117.050380375
历下区	千佛山街道	千佛山街道	街道级地名	36.6428299263	117.03409953
历下区	泉城路街道	泉城路街道	街道级地名	36.6662229996	117.014616693
市中区	泺源街道	泺源街道	街道级地名	36.663141076	117.007807426
历下区	舜华路街道	舜华路街道	街道级地名	36.6826631939	117.129192272
市中区	舜耕街道	舜耕街道	街道级地名	36.6311871196	117.031119
历城区	全福街道	全福街道	街道级地名	36.699261587	117.051365386
历城区	新悦城社区	新悦城社区	行政村	36.7048570023	117.174608458
